order,conditionedCat,trial,stim_cat_num,stim_number,stim_name,stim_cat_superord,stim_oldnew,stim_firstphase
7,2,57,1,29,stimuli/animals/penguin.jpg,Birds,2,3
7,2,58,2,316,stimuli/tools/grapplinghook.jpg,Toolbox,1,2
7,2,59,1,132,stimuli/animals/octopus.jpg,SeaDwellers,1,1
7,2,60,2,185,stimuli/tools/circularsaw.jpg,Powertools,2,3
7,2,61,2,345,stimuli/tools/sewingmachine.jpg,Household,2,3
7,2,62,1,35,stimuli/animals/salmon.jpg,SeaDwellers,1,2
7,2,63,2,214,stimuli/tools/toolbox.jpg,Toolbox,1,1
7,2,64,2,199,stimuli/tools/vicegrips.jpg,Toolbox,2,3
7,2,65,2,231,stimuli/tools/squeegee.jpg,Toolbox,1,1
7,2,66,1,140,stimuli/animals/crane.jpg,Birds,2,3
7,2,67,2,287,stimuli/tools/scale.jpg,Household,1,2
7,2,68,1,9,stimuli/animals/rooster.jpg,Birds,1,1
