order,conditionedCat,trial,stim_cat_num,stim_number,stim_name,stim_cat_superord,stim_oldnew,stim_firstphase
2,1,173,2,223,stimuli/tools/rake.jpg,Household,1,2
2,1,174,1,100,stimuli/animals/finch.jpg,Birds,1,2
2,1,175,1,150,stimuli/animals/millipede.jpg,Invertebrates,2,3
2,1,176,1,160,stimuli/animals/aardvark.jpg,Mammals,1,1
2,1,177,1,59,stimuli/animals/rainbowtrout.jpg,SeaDwellers,2,3
2,1,178,2,359,stimuli/tools/electricpipethreader.jpg,Powertools,1,1
2,1,179,1,1,stimuli/animals/cat.jpg,Mammals,1,1
2,1,180,2,314,stimuli/tools/circlecutter.jpg,Household,1,2
2,1,181,1,23,stimuli/animals/mountainsheep.jpg,Mammals,2,3
2,1,182,2,197,stimuli/tools/screwdriver.jpg,Toolbox,2,3
2,1,183,2,286,stimuli/tools/sander.jpg,Toolbox,1,2
2,1,184,2,310,stimuli/tools/compass.jpg,Toolbox,1,1
2,1,185,1,32,stimuli/animals/turtle.jpg,ReptilesAmph,2,3
2,1,186,2,247,stimuli/tools/razorblade.jpg,Household,1,2
2,1,187,1,58,stimuli/animals/perch.jpg,SeaDwellers,1,2
2,1,188,1,176,stimuli/animals/firebug.jpg,Invertebrates,1,1
2,1,189,2,208,stimuli/tools/stapler.jpg,Household,1,1
2,1,190,1,72,stimuli/animals/koala.jpg,Mammals,2,3
2,1,191,1,60,stimuli/animals/alligator.jpg,ReptilesAmph,1,1
2,1,192,1,18,stimuli/animals/macaw.jpg,Birds,1,1
2,1,193,2,336,stimuli/tools/chainwrench.jpg,Toolbox,1,2
2,1,194,1,46,stimuli/animals/pelican.jpg,Birds,2,3
2,1,195,2,321,stimuli/tools/tirespoon.jpg,Toolbox,2,3
2,1,196,1,54,stimuli/animals/bison.jpg,Mammals,1,2
2,1,197,1,70,stimuli/animals/bumblebee.jpg,Invertebrates,2,3
2,1,198,1,73,stimuli/animals/pike.jpg,SeaDwellers,2,3
2,1,199,2,187,stimuli/tools/saw.jpg,Toolbox,2,3
2,1,200,1,134,stimuli/animals/caracal.jpg,Mammals,1,1
2,1,201,2,193,stimuli/tools/clamp.jpg,Toolbox,2,3
2,1,202,2,308,stimuli/tools/blender.jpg,Household,2,3
2,1,203,1,16,stimuli/animals/dolphin.jpg,SeaDwellers,2,3
2,1,204,2,283,stimuli/tools/magnet.jpg,Household,1,2
2,1,205,2,250,stimuli/tools/laptop.jpg,Devices,2,3
2,1,206,1,69,stimuli/animals/porcupine.jpg,Mammals,2,3
2,1,207,2,280,stimuli/tools/cheesegrater.jpg,Household,2,3
2,1,208,1,82,stimuli/animals/yak.jpg,Mammals,1,2
2,1,209,1,57,stimuli/animals/kangaroo.jpg,Mammals,1,1
2,1,210,2,266,stimuli/tools/workbench.jpg,Powertools,1,2
2,1,211,2,212,stimuli/tools/scissors.jpg,Toolbox,2,3
2,1,212,1,140,stimuli/animals/crane.jpg,Birds,1,2
2,1,213,2,299,stimuli/tools/coathanger.jpg,Household,2,3
2,1,214,2,199,stimuli/tools/vicegrips.jpg,Toolbox,2,3
2,1,215,1,112,stimuli/animals/crab.jpg,SeaDwellers,2,3
2,1,216,2,360,stimuli/tools/engine.jpg,Devices,1,1
2,1,217,1,149,stimuli/animals/quail.jpg,Birds,2,3
2,1,218,2,188,stimuli/tools/bolt.jpg,Toolbox,1,1
2,1,219,1,125,stimuli/animals/ladybug.jpg,Invertebrates,1,2
2,1,220,1,2,stimuli/animals/dog.jpg,Mammals,2,3
2,1,221,2,200,stimuli/tools/clippers.jpg,Toolbox,1,2
2,1,222,2,284,stimuli/tools/nailgun.jpg,Powertools,2,3
2,1,223,2,295,stimuli/tools/grill.jpg,Household,1,2
2,1,224,1,9,stimuli/animals/rooster.jpg,Birds,2,3
2,1,225,2,281,stimuli/tools/file.jpg,Household,2,3
2,1,226,2,185,stimuli/tools/circularsaw.jpg,Powertools,2,3
